iter	Passed	Remaining
0	4	462
1	8	434
2	13	438
3	17	423
4	22	420
5	26	408
6	29	394
7	33	383
8	37	378
9	41	369
10	44	361
11	48	354
12	52	351
13	56	345
14	60	340
15	63	333
16	67	328
17	71	324
18	74	319
19	78	315
20	82	310
21	86	306
22	90	302
23	94	297
24	97	292
25	101	288
26	105	284
27	108	278
28	110	271
29	113	264
30	115	257
31	117	250
32	120	244
33	122	237
34	124	231
35	125	223
36	127	217
37	128	210
38	130	204
39	132	198
40	133	192
41	134	186
42	135	180
43	136	174
44	138	168
45	139	163
46	140	158
47	141	153
48	142	148
49	143	143
50	144	138
51	145	134
52	146	129
53	147	125
54	148	121
55	149	117
56	150	113
57	151	109
58	151	105
59	152	101
60	153	98
61	154	94
62	155	91
63	156	87
64	157	84
65	158	81
66	158	78
67	159	75
68	160	72
69	161	69
70	162	66
71	163	63
72	164	60
73	165	58
74	166	55
75	166	52
76	167	50
77	168	47
78	169	44
79	170	42
80	171	40
81	171	37
82	172	35
83	173	33
84	174	30
85	175	28
86	176	26
87	177	24
88	177	21
89	178	19
90	179	17
91	180	15
92	181	13
93	182	11
94	183	9
95	184	7
96	184	5
97	185	3
98	186	1
99	187	0
