iter	Passed	Remaining
0	222	222624
1	227	113277
2	231	76954
3	235	58666
4	239	47608
5	243	40285
6	247	35147
7	251	31246
8	255	28174
9	259	25715
10	263	23716
11	267	22007
12	270	20557
13	274	19316
14	278	18275
15	282	17347
16	285	16523
17	289	15776
18	293	15133
19	296	14535
20	300	13998
21	304	13534
22	308	13093
23	311	12687
24	315	12321
25	320	12018
26	324	11691
27	328	11406
28	332	11131
29	336	10893
30	340	10643
31	344	10417
32	348	10207
33	352	10024
34	357	9857
35	361	9683
36	366	9531
37	369	9364
38	373	9200
39	377	9054
40	381	8925
41	385	8785
42	388	8647
43	391	8516
44	396	8405
45	399	8291
46	403	8180
47	407	8083
48	411	7983
49	414	7881
50	418	7787
51	421	7682
52	423	7573
53	426	7469
54	428	7364
55	430	7257
56	432	7152
57	434	7050
58	436	6955
59	437	6854
60	439	6759
61	441	6672
62	442	6581
63	444	6495
64	445	6406
65	446	6319
66	447	6235
67	449	6155
68	450	6082
69	452	6008
70	453	5931
71	454	5856
72	455	5781
73	456	5709
74	457	5639
75	458	5570
76	459	5503
77	460	5437
78	460	5373
79	461	5309
80	462	5247
81	463	5188
82	463	5124
83	464	5067
84	466	5021
85	467	4971
86	468	4917
87	469	4866
88	470	4815
89	471	4765
90	472	4716
91	473	4668
92	473	4621
93	474	4575
94	475	4530
95	476	4486
96	477	4443
97	478	4400
98	478	4358
99	479	4318
100	481	4285
101	482	4250
102	483	4213
103	484	4176
104	485	4139
105	486	4102
106	487	4066
107	488	4032
108	489	3997
109	489	3963
110	490	3930
111	491	3897
112	492	3865
113	493	3834
114	494	3803
115	496	3783
116	497	3755
117	498	3729
118	499	3701
119	500	3673
120	501	3646
121	502	3617
122	503	3590
123	504	3564
124	505	3537
125	506	3511
126	506	3484
127	507	3458
128	508	3433
129	510	3414
130	511	3392
131	512	3369
132	513	3345
133	514	3322
134	515	3300
135	515	3277
136	516	3254
137	517	3232
138	518	3211
139	519	3189
140	520	3168
141	520	3146
142	521	3125
143	522	3105
144	523	3085
145	524	3069
146	525	3051
147	526	3032
148	527	3014
149	528	2995
150	529	2977
151	530	2959
152	531	2941
153	532	2923
154	533	2906
155	534	2889
156	534	2872
157	535	2855
158	536	2838
159	537	2821
160	538	2803
161	539	2792
162	541	2778
163	542	2763
164	542	2747
165	543	2732
166	544	2717
167	545	2702
168	546	2686
169	547	2672
170	548	2657
171	548	2642
172	549	2628
173	550	2614
174	551	2600
175	552	2586
176	553	2573
177	555	2563
178	556	2551
179	557	2538
180	557	2524
181	558	2511
182	559	2498
183	560	2486
184	561	2473
185	562	2460
186	563	2448
187	564	2436
188	564	2423
189	565	2412
190	566	2400
191	567	2388
192	568	2378
193	570	2368
194	571	2357
195	571	2346
196	572	2334
197	573	2323
198	574	2312
199	575	2301
200	576	2290
201	577	2279
202	577	2269
203	578	2258
204	579	2248
205	580	2237
206	581	2227
207	582	2217
208	583	2209
209	585	2201
210	586	2191
211	586	2181
212	587	2171
213	588	2161
214	589	2152
215	590	2142
216	591	2133
217	592	2123
218	592	2114
219	593	2105
220	594	2095
221	595	2086
222	596	2077
223	597	2068
224	598	2060
225	599	2052
226	600	2043
227	601	2035
228	601	2026
229	602	2018
230	603	2009
231	604	2001
232	605	1992
233	606	1984
234	607	1976
235	607	1968
236	608	1959
237	609	1951
238	610	1943
239	611	1935
240	612	1927
241	613	1921
242	614	1913
243	615	1906
244	616	1898
245	616	1891
246	617	1883
247	618	1876
248	619	1868
249	620	1861
250	621	1853
251	622	1846
252	622	1838
253	623	1831
254	624	1824
255	625	1817
256	626	1810
257	627	1803
258	628	1797
259	629	1790
260	629	1783
261	630	1776
262	631	1770
263	632	1763
264	633	1756
265	634	1749
266	635	1743
267	635	1736
268	636	1730
269	637	1723
270	638	1717
271	639	1710
272	640	1704
273	640	1698
274	641	1691
275	642	1686
276	643	1680
277	644	1674
278	645	1668
279	646	1662
280	647	1656
281	648	1650
282	649	1644
283	649	1638
284	650	1632
285	651	1626
286	652	1621
287	653	1615
288	654	1609
289	655	1604
290	656	1598
291	658	1597
292	660	1592
293	661	1587
294	661	1581
295	662	1576
296	663	1571
297	664	1566
298	665	1560
299	666	1555
300	667	1550
301	668	1545
302	669	1539
303	670	1534
304	671	1529
305	671	1523
306	672	1519
307	673	1513
308	674	1508
309	675	1503
310	676	1498
311	677	1493
312	678	1488
313	678	1483
314	679	1478
315	680	1473
316	681	1468
317	682	1463
318	683	1458
319	684	1453
320	684	1448
321	685	1444
322	686	1439
323	687	1435
324	688	1430
325	689	1425
326	690	1421
327	691	1416
328	692	1411
329	693	1407
330	693	1402
331	694	1397
332	695	1393
333	696	1388
334	697	1384
335	698	1379
336	698	1374
337	699	1370
338	700	1365
339	701	1361
340	702	1357
341	703	1353
342	704	1349
343	705	1345
344	706	1341
345	707	1337
346	708	1333
347	709	1328
348	709	1324
349	710	1320
350	711	1316
351	712	1312
352	713	1307
353	714	1303
354	715	1299
355	716	1295
356	717	1292
357	718	1288
358	719	1284
359	720	1280
360	721	1277
361	722	1273
362	723	1269
363	724	1265
364	725	1262
365	726	1258
366	727	1254
367	728	1250
368	729	1246
369	729	1242
370	730	1238
371	731	1235
372	732	1232
373	733	1228
374	734	1224
375	735	1220
376	736	1216
377	737	1213
378	738	1209
379	739	1205
380	739	1201
381	740	1198
382	741	1194
383	742	1190
384	743	1187
385	744	1183
386	744	1179
387	745	1176
388	746	1172
389	747	1169
390	748	1165
391	749	1162
392	750	1158
393	751	1155
394	751	1151
395	752	1148
396	753	1144
397	754	1141
398	755	1137
399	756	1134
400	757	1130
401	757	1127
402	758	1124
403	759	1120
404	760	1117
405	761	1113
406	762	1111
407	763	1107
408	764	1104
409	765	1101
410	765	1097
411	766	1094
412	767	1091
413	768	1087
414	769	1084
415	770	1081
416	771	1078
417	771	1074
418	772	1071
419	773	1068
420	774	1065
421	775	1062
422	776	1058
423	777	1056
424	778	1052
425	779	1049
426	779	1046
427	780	1043
428	781	1040
429	782	1037
430	783	1034
431	784	1031
432	785	1028
433	786	1025
434	786	1022
435	787	1019
436	788	1016
437	789	1013
438	790	1009
439	791	1006
440	792	1004
441	793	1001
442	794	998
443	794	995
444	795	992
445	796	989
446	797	986
447	798	983
448	799	980
449	799	977
450	800	974
451	801	972
452	802	969
453	803	966
454	804	963
455	805	960
456	806	957
457	807	955
458	808	952
459	808	949
460	809	946
461	810	943
462	811	941
463	812	938
464	813	935
465	814	932
466	814	930
467	815	927
468	816	924
469	817	921
470	818	919
471	819	916
472	820	913
473	821	911
474	822	908
475	822	905
476	823	903
477	824	900
478	825	897
479	826	895
480	827	892
481	828	890
482	829	887
483	829	884
484	830	882
485	831	879
486	832	877
487	833	874
488	834	872
489	835	869
490	836	867
491	837	865
492	838	862
493	839	860
494	840	857
495	841	854
496	842	852
497	843	849
498	844	847
499	844	844
500	845	842
501	846	839
502	847	837
503	848	834
504	849	832
505	850	829
506	851	827
507	852	825
508	853	823
509	854	820
510	855	818
511	856	815
512	857	813
513	857	811
514	858	808
515	859	806
516	860	803
517	861	801
518	862	798
519	862	796
520	863	794
521	864	791
522	865	789
523	866	787
524	867	784
525	868	782
526	869	780
527	870	777
528	870	775
529	871	773
530	872	770
531	873	768
532	874	766
533	875	763
534	876	761
535	876	759
536	877	756
537	878	754
538	879	752
539	880	749
540	881	747
541	882	745
542	883	743
543	884	741
544	885	739
545	886	736
546	887	734
547	887	732
548	888	730
549	889	727
550	890	725
551	891	723
552	892	721
553	893	718
554	893	716
555	894	714
556	896	712
557	897	710
558	898	708
559	899	706
560	900	704
561	901	702
562	902	700
563	903	698
564	904	696
565	905	694
566	906	692
567	907	690
568	908	688
569	909	686
570	910	683
571	911	681
572	913	680
573	914	678
574	915	676
575	916	674
576	917	672
577	918	670
578	919	668
579	920	666
580	921	664
581	921	662
582	922	660
583	923	657
584	924	655
585	925	653
586	926	652
587	928	650
588	929	648
589	930	646
590	931	644
591	932	642
592	932	640
593	933	638
594	934	636
595	935	634
596	936	632
597	937	630
598	938	628
599	939	626
600	940	624
601	943	623
602	944	621
603	945	619
604	945	617
605	946	615
606	947	613
607	948	611
608	949	609
609	950	607
610	951	605
611	952	603
612	953	601
613	954	599
614	955	597
615	956	596
616	958	594
617	959	592
618	960	591
619	961	589
620	962	587
621	963	585
622	964	583
623	965	581
624	965	579
625	966	577
626	967	575
627	968	573
628	969	571
629	970	569
630	971	567
631	972	566
632	973	564
633	974	562
634	975	560
635	976	558
636	977	556
637	978	554
638	978	552
639	979	551
640	980	549
641	981	547
642	982	545
643	983	543
644	984	541
645	984	539
646	985	537
647	987	536
648	988	534
649	989	532
650	990	530
651	991	528
652	991	527
653	992	525
654	993	523
655	994	521
656	995	519
657	996	517
658	996	515
659	997	514
660	998	512
661	999	510
662	1000	508
663	1002	507
664	1003	505
665	1004	503
666	1005	501
667	1005	499
668	1006	498
669	1007	496
670	1008	494
671	1009	492
672	1010	490
673	1011	489
674	1011	487
675	1012	485
676	1013	483
677	1014	481
678	1015	480
679	1016	478
680	1018	476
681	1019	475
682	1019	473
683	1020	471
684	1021	469
685	1022	467
686	1023	466
687	1024	464
688	1025	462
689	1026	460
690	1026	459
691	1027	457
692	1028	455
693	1029	453
694	1030	452
695	1032	450
696	1033	449
697	1033	447
698	1034	445
699	1035	443
700	1036	442
701	1037	440
702	1038	438
703	1039	436
704	1039	435
705	1040	433
706	1042	431
707	1042	430
708	1043	428
709	1044	426
710	1045	424
711	1047	423
712	1048	421
713	1049	420
714	1049	418
715	1050	416
716	1051	415
717	1052	413
718	1053	411
719	1054	409
720	1055	408
721	1056	406
722	1056	404
723	1057	403
724	1058	401
725	1059	399
726	1060	398
727	1061	396
728	1062	395
729	1063	393
730	1064	391
731	1065	390
732	1066	388
733	1067	386
734	1068	385
735	1068	383
736	1069	381
737	1070	380
738	1071	378
739	1072	376
740	1073	375
741	1074	373
742	1075	371
743	1076	370
744	1077	368
745	1078	367
746	1078	365
747	1079	363
748	1080	362
749	1081	360
750	1082	358
751	1083	357
752	1084	355
753	1085	354
754	1085	352
755	1086	350
756	1087	349
757	1088	347
758	1089	346
759	1091	344
760	1092	343
761	1093	341
762	1094	339
763	1094	338
764	1095	336
765	1096	335
766	1097	333
767	1098	331
768	1099	330
769	1100	328
770	1100	326
771	1101	325
772	1102	323
773	1103	322
774	1104	320
775	1105	319
776	1106	317
777	1107	315
778	1108	314
779	1109	312
780	1110	311
781	1110	309
782	1111	308
783	1112	306
784	1113	304
785	1114	303
786	1115	301
787	1116	300
788	1117	298
789	1117	297
790	1118	295
791	1119	294
792	1120	292
793	1121	291
794	1122	289
795	1123	287
796	1124	286
797	1125	284
798	1126	283
799	1127	281
800	1127	280
801	1128	278
802	1129	277
803	1130	275
804	1131	274
805	1132	272
806	1133	270
807	1133	269
808	1134	267
809	1136	266
810	1137	265
811	1138	263
812	1138	261
